Iteration,StartDepth,EndDepth,Avg_TVGR,Avg_TVRES,Avg_TVDT
1,4245,4250,50.091942341333333333333333333,0.9045433333333333333333333333,274.72540890666666666666666667
2,4250,4255,54.9735363725,0.8684428125,268.74307365
3,4255,4260,51.494673064545454545454545455,1.0163666666666666666666666667,265.79412286969696969696969697
4,4260,4265,48.000048145757575757575757576,0.8981893939393939393939393939,273.71534498484848484848484848
5,4265,4270,58.559936754242424242424242424,0.7760036363636363636363636364,276.44491656363636363636363636
6,4270,4275,59.119859174848484848484848485,0.8409357575757575757575757576,287.48760689090909090909090909
7,4275,4280,66.098578571875,0.8543421875,270.743870928125
8,4280,4285,65.38047883,0.7746569696969696969696969697,275.85841493636363636363636364
9,4285,4290,66.577511526363636363636363636,0.7766451515151515151515151515,284.77250666666666666666666667
10,4290,4295,57.36318779,0.7399118181818181818181818182,295.88600952121212121212121212
11,4295,4300,53.152266646666666666666666667,0.8848875757575757575757575758,296.51704144848484848484848485
